tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0002130,Dante's Inferno,1911,71,"Adventure,Drama,Fantasy",7.0,3570
tt0002423,Passion,1919,113,"Biography,Drama,Romance",6.6,1027
tt0002844,Fantômas: In the Shadow of the Guillotine,1913,54,"Crime,Drama",6.9,2534
tt0003014,Ingeborg Holm,1913,96,Drama,7.0,1458
tt0003037,Fantomas: The Man in Black,1913,61,"Crime,Drama",6.9,1709
tt0003165,Fantômas: The Dead Man Who Killed,1913,90,"Crime,Drama,Mystery",6.9,1352
tt0003419,The Student of Prague,1913,85,"Drama,Fantasy,Horror",6.4,2462
tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,78,"Crime,Drama,Horror",6.4,1460
tt0003740,Cabiria,1914,148,"Adventure,Drama,History",7.1,4018
tt0003772,Cinderella,1914,52,"Drama,Fantasy",6.0,1092
tt0003930,Fantomas: The Mysterious Finger Print,1914,59,"Crime,Drama",6.8,1444
tt0003952,Fantômas: The False Magistrate,1914,70,"Crime,Drama",6.7,1216
tt0004026,The Golem,1914,60,Horror,6.7,1257
tt0004181,Judith of Bethulia,1914,61,Drama,6.2,1464
tt0004465,The Perils of Pauline,1914,199,"Action,Adventure,Drama",6.3,1095
tt0004635,The Squaw Man,1914,74,"Action,Drama,Romance",5.6,1060
tt0004707,Tillie's Punctured Romance,1914,82,Comedy,6.2,3759
tt0004972,The Birth of a Nation,1915,195,"Drama,War",6.1,26617
tt0005060,Carmen,1915,59,Drama,6.3,1101
tt0005078,The Cheat,1915,59,"Drama,Romance",6.5,2862
tt0005339,A Fool There Was,1915,67,Drama,5.7,1068
tt0005916,After Death,1915,46,"Drama,Horror",6.8,1038
tt0005960,The Regeneration,1915,72,"Biography,Crime,Drama",6.8,1456
tt0006206,Les Vampires,1915,421,"Action,Adventure,Crime",7.3,5511
tt0006333,"20,000 Leagues Under the Sea",1916,105,"Action,Adventure,Sci-Fi",6.1,2036
tt0006780,Hell's Hinges,1916,64,"Romance,Western",6.7,1102
tt0006864,Intolerance,1916,163,"Drama,History",7.7,16942
tt0006886,Judex,1916,300,"Adventure,Crime",7.2,1154
tt0008443,The Poor Little Rich Girl,1917,78,"Comedy,Drama,Family",6.7,1567
tt0008663,A Man There Was,1917,65,"Drama,War",7.3,2368
tt0008879,The Outlaw and His Wife,1918,72,Drama,7.2,2125
tt0008891,The Blue Bird,1918,75,"Family,Fantasy",6.9,1036
tt0009150,Hearts of the World,1918,117,"Drama,War",6.6,1117
tt0009369,Mickey,1918,93,"Comedy,Drama",6.1,1185
tt0009652,Stella Maris,1918,84,Drama,6.9,1600
tt0009878,Different from the Others,1919,50,"Crime,Drama,History",7.0,1529
tt0009892,Auction of Souls,1919,80,"Drama,History,Romance",5.5,1245
tt0009893,The Oyster Princess,1919,60,Comedy,7.2,2196
tt0009937,Blind Husbands,1919,102,"Drama,Romance",6.9,1710
tt0009968,Broken Blossoms,1919,90,"Drama,Romance",7.2,11198
tt0010040,Daddy-Long-Legs,1919,85,"Comedy,Drama",6.6,1486
tt0010071,Don't Change Your Husband,1919,71,Comedy,6.5,1280
tt0010247,Sir Arne's Treasure,1919,122,"Drama,History",7.1,1583
tt0010267,The Hoodlum,1919,78,Comedy,6.7,1052
tt0010281,I Don't Want to Be a Man,1918,45,"Comedy,Romance",6.8,1674
tt0010307,J'accuse!,1919,166,"Drama,Horror,War",7.7,2111
tt0010323,The Cabinet of Dr. Caligari,1920,67,"Horror,Mystery,Thriller",8.0,71075
tt0010418,Male and Female,1919,116,"Adventure,Drama",7.0,1991
tt0010598,The President,1919,85,Drama,6.6,1072
tt0010600,The Doll,1919,66,"Comedy,Fantasy,Sci-Fi",7.4,2409
tt0010726,The Spiders - Episode 1: The Golden Sea,1919,130,"Adventure,Western",6.5,1475
tt0010806,True Heart Susie,1919,87,"Comedy,Drama,Romance",6.9,2020
tt0011000,Leaves From Satan's Book,1920,167,Drama,6.6,1367
tt0011130,Dr. Jekyll and Mr. Hyde,1920,69,"Drama,Horror,Sci-Fi",6.9,6139
tt0011157,Erotikon,1920,106,"Comedy,Romance",6.4,1071
tt0011221,Genuine: The Tragedy of a Vampire,1920,88,"Fantasy,Horror,Romance",5.9,1151
tt0011237,The Golem,1920,91,"Fantasy,Horror",7.2,8698
tt0011387,The Last of the Mohicans,1920,73,"Action,Adventure,Drama",6.7,1466
tt0011439,The Mark of Zorro,1920,79,"Adventure,Romance,Western",7.1,2838
tt0011565,The Penalty,1920,90,"Crime,Drama,Horror",7.4,2669
tt0011607,The Parson's Widow,1920,94,"Comedy,Drama,Horror",7.1,1541
tt0011652,The Saphead,1920,77,"Comedy,Drama,Romance",6.1,1792
tt0011723,The Spiders - Episode 2: The Diamond Ship,1920,104,Adventure,6.1,1117
tt0011841,Way Down East,1920,145,"Drama,Romance",7.3,5964
tt0011865,Why Change Your Wife?,1920,90,"Comedy,Drama",6.7,1504
tt0011870,Within Our Gates,1920,79,"Drama,Romance",6.4,3705
tt0011904,The Ace of Hearts,1921,75,"Crime,Drama,Mystery",6.8,1336
tt0011909,The Affairs of Anatol,1921,117,"Comedy,Drama",6.6,1369
tt0011960,The Wildcat,1921,79,"Comedy,Drama,Romance",6.9,1336
tt0012027,Camille,1921,72,"Drama,Romance",6.5,1076
tt0012190,The Four Horsemen of the Apocalypse,1921,150,"Drama,Romance,War",7.1,3580
tt0012349,The Kid,1921,68,"Comedy,Drama,Family",8.2,136690
tt0012364,The Phantom Carriage,1921,107,"Drama,Fantasy,Horror",8.0,14343
tt0012494,Destiny,1921,114,"Drama,Fantasy,Horror",7.6,6801
tt0012532,Orphans of the Storm,1921,150,"Drama,History,Romance",7.3,5530
tt0012642,A Sailor-Made Man,1921,47,"Action,Adventure,Comedy",6.8,1276
tt0012651,The Haunted Castle,1921,69,"Crime,Drama,Horror",6.1,2099
tt0012675,The Sheik,1921,86,"Adventure,Drama,Romance",6.2,3713
tt0012752,The Three Musketeers,1921,119,"Action,Adventure,Family",6.9,1169
tt0012763,Tol'able David,1921,99,Drama,7.1,1965
tt0012938,Beyond the Rocks,1922,80,"Drama,Romance",6.7,2413
tt0012952,Blood and Sand,1922,108,"Drama,Romance,Sport",6.3,1553
tt0013075,Dr. Jack,1922,60,"Comedy,Romance",7.1,1697
tt0013086,"Dr. Mabuse, the Gambler",1922,242,"Crime,Mystery,Thriller",7.8,9291
tt0013140,Foolish Wives,1922,117,"Drama,Thriller",7.0,4091
tt0013201,Grandma's Boy,1922,60,"Comedy,Family",7.0,2087
tt0013257,Häxan,1922,91,"Documentary,Fantasy,Horror",7.6,17071
tt0013427,Nanook of the North,1922,78,Documentary,7.6,13620
tt0013442,Nosferatu: A Symphony of Horror,1922,94,"Fantasy,Horror",7.9,107240
tt0013496,Phantom,1922,125,"Drama,Romance",6.7,1977
tt0013556,Robin Hood,1922,143,"Adventure,Family,Romance",7.0,2519
tt0013571,Salomé,1922,72,"Biography,Drama,History",6.6,1198
tt0013579,Warning Shadows,1923,90,"Drama,Fantasy,Horror",6.6,1141
tt0013750,When Knighthood Was in Flower,1922,120,"Drama,Romance",6.6,1144
tt0013933,The Faithful Heart,1923,87,"Drama,Romance",7.4,1467
tt0014029,The Extra Girl,1923,68,"Comedy,Romance",6.7,1216
tt0014109,The Saga of Gösta Berling,1924,183,"Drama,Romance",7.0,1395
tt0014142,The Hunchback of Notre Dame,1923,133,"Drama,Horror,Romance",7.2,6219
tt0014205,Little Old New York,1923,110,"Comedy,Romance",6.4,1092
tt0014341,Our Hospitality,1923,65,"Comedy,Romance,Thriller",7.8,12658
tt0014358,The Pilgrim,1923,47,"Comedy,Western",7.2,5769
tt0014417,The Wheel,1923,417,Drama,7.5,2603
tt0014429,Safety Last!,1923,74,"Action,Comedy,Thriller",8.1,23285
tt0014497,Souls for Sale,1923,90,"Comedy,Drama,Romance",7.0,1128
tt0014532,The Ten Commandments,1923,136,"Biography,Drama,History",6.8,2712
tt0014538,Three Ages,1923,63,Comedy,7.0,5289
tt0014586,Waxworks,1924,107,"Fantasy,Horror",6.6,2365
tt0014611,Why Worry?,1923,63,"Adventure,Comedy,Family",7.3,2096
tt0014624,A Woman of Paris: A Drama of Fate,1923,82,"Drama,Romance",6.9,6296
tt0014646,"Aelita, the Queen of Mars",1924,111,"Adventure,Comedy,Drama",6.4,2931
tt0014945,Girl Shy,1924,87,"Comedy,Romance",7.7,3705
tt0014972,He Who Gets Slapped,1924,95,"Drama,Romance,Thriller",7.8,4401
tt0015002,Hot Water,1924,53,Comedy,7.1,1581
tt0015014,L'inhumaine,1924,135,"Drama,Mystery,Romance",7.2,1062
tt0015016,The Iron Horse,1924,150,"Drama,History,Romance",7.2,2498
tt0015039,Kino Eye,1924,78,Documentary,6.9,1214
tt0015064,The Last Laugh,1924,90,Drama,8.0,15428
tt0015116,Manhandled,1924,75,"Comedy,Drama",6.7,1159
tt0015119,The Marriage Circle,1924,85,Comedy,7.0,1538
tt0015136,Michael,1924,93,"Drama,Romance",7.1,2076
tt0015163,The Navigator,1924,59,"Action,Adventure,Comedy",7.5,11216
tt0015167,The Extraordinary Adventures of Mr. West in the Land of the Bolsheviks,1924,94,"Comedy,Fantasy,Romance",6.5,1131
tt0015174,Die Nibelungen: Kriemhild's Revenge,1924,129,"Adventure,Drama,Fantasy",7.9,5082
tt0015175,Die Nibelungen: Siegfried,1924,100,"Adventure,Drama,Fantasy",8.1,6665
tt0015202,The Hands of Orlac,1924,92,"Crime,Horror,Mystery",7.0,3466
tt0015214,At 3:25,1925,59,Sci-Fi,7.1,1992
tt0015224,Peter Pan,1924,105,"Adventure,Family,Fantasy",7.1,1296
tt0015324,Sherlock Jr.,1924,45,"Action,Comedy,Romance",8.2,58347
tt0015361,Strike,1925,82,Drama,7.6,8746
tt0015400,The Thief of Bagdad,1924,155,"Adventure,Family,Fantasy",7.7,7107
tt0015532,The Adventures of Prince Achmed,1926,80,"Adventure,Animation,Family",7.8,7004
tt0015624,The Big Parade,1925,151,"Drama,Romance,War",7.9,7387
tt0015634,Body and Soul,1925,102,"Crime,Drama,Thriller",6.2,1208
tt0015648,Battleship Potemkin,1925,66,"Drama,History,Thriller",7.9,62027
tt0015768,Master of the House,1925,111,"Comedy,Drama",7.0,2412
tt0015772,The Eagle,1925,73,"Action,Adventure,Comedy",6.6,2308
tt0015841,The Freshman,1925,77,"Comedy,Family,Romance",7.5,6149
tt0015842,The Joyless Street,1925,125,Drama,7.1,1735
tt0015863,Go West,1925,69,"Comedy,Western",7.1,5090
tt0015864,The Gold Rush,1925,95,"Adventure,Comedy,Drama",8.1,120023
tt0015873,Grass: A Nation's Battle for Life,1925,71,Documentary,7.7,1218
tt0015881,Greed,1924,140,"Drama,Thriller,Western",8.0,10903
tt0016004,Lady Windermere's Fan,1925,120,Comedy,7.2,1388
tt0016028,Little Annie Rooney,1925,94,"Comedy,Drama",6.8,1078
tt0016029,The Little Colonel,1935,81,"Comedy,Family,Musical",7.0,1917
tt0016039,The Lost World,1925,110,"Adventure,Fantasy,Horror",7.0,5934
tt0016104,The Merry Widow,1925,137,"Drama,Romance",7.2,2617
tt0016123,The Monster,1925,86,"Comedy,Horror,Mystery",6.2,1394
tt0016220,The Phantom of the Opera,1925,93,Horror,7.5,20380
tt0016230,The Pleasure Garden,1925,75,"Drama,Romance",5.8,2952
tt0016332,Seven Chances,1925,56,"Comedy,Romance",7.8,11907
tt0016394,Stage Struck,1925,70,Comedy,6.8,1091
tt0016473,The Unholy Three,1925,86,"Crime,Drama,Romance",7.1,2298
tt0016481,Variety,1925,72,"Crime,Drama,Romance",7.4,1422
tt0016544,The Wizard of Oz,1925,95,"Adventure,Comedy,Family",4.9,1776
tt0016627,Bardelys the Magnificent,1926,90,"Drama,Romance",7.1,1333
tt0016630,Battling Butler,1926,77,"Comedy,Sport",7.0,3955
tt0016641,Ben-Hur: A Tale of the Christ,1925,143,"Action,Adventure,Drama",7.8,8026
tt0016654,The Black Pirate,1926,88,"Action,Adventure",7.0,2186
tt0016669,La Bohème,1926,95,"Drama,Romance",7.2,1705
tt0016690,Brown of Harvard,1926,85,"Action,Drama,Romance",6.2,1540
tt0016822,Ella Cinders,1926,75,"Comedy,Romance",7.0,1099
tt0016847,Faust,1926,107,"Drama,Fantasy,Horror",8.1,16890
tt0016884,Flesh and the Devil,1926,112,"Drama,Romance",7.6,4699
tt0016895,For Heaven's Sake,1926,58,"Action,Comedy,Romance",7.5,1996
tt0017048,A Page of Madness,1926,70,"Drama,Horror,Thriller",7.3,4693
tt0017075,The Lodger: A Story of the London Fog,1927,92,"Crime,Drama,Mystery",7.3,13642
tt0017128,Mother,1926,89,Drama,7.4,3103
