tconst,nconst,category,characters
tt1309409,nm1251909,actress,[Ithopoios]
tt1309409,nm0660347,director,\N
tt1309409,nm0720109,director,\N
tt1309449,nm0297885,actor,[Kaiji Ito]
tt1309449,nm1947564,actor,[Makoto Sahara]
tt1309449,nm0766225,actor,[Kazutaka Okada]
tt1309449,nm0023858,actress,[Rinko Endo]
tt1309449,nm1973760,actress,[Yasuda]
tt1309449,nm1973760,actress,[Ishida Hiromi]
tt1309449,nm2570241,actor,[Majima]
tt1309449,nm6111124,actor,\N
tt1309449,nm0945500,actor,[Joji Funai]
tt1309449,nm0434596,actor,[Yukio Tonegawa]
tt1309449,nm0609306,actress,[Houseboat Proprietress]
tt1309449,nm2213511,director,\N
tt13095604,nm2276454,director,\N
tt13097336,nm0085244,actress,[Bibi]
tt13097336,nm11769337,actor,[Laith Lanrawi]
tt13097336,nm0269909,actor,[Abu Bakr]
tt13097336,nm1347940,actor,[Omar]
tt13097336,nm6354959,actor,[Raed]
tt13097336,nm4500688,actress,[Fatima Lanrawi]
tt13097336,nm1373874,actor,[Bilal]
tt13097336,nm13602767,actor,[Wealthy Man]
tt13097336,nm0028222,actor,[Salman]
tt13097336,nm2242196,actor,[Conspirator]
tt13097336,nm11900680,director,\N
tt13097434,nm8819004,actor,[Jayakrishna]
tt13097434,nm5687607,actress,[Deepthi Varma]
tt13097434,nm1198628,actor,[Inspector Rama Raju]
tt13097434,nm7337648,actor,[Bala Yesu]
tt13097434,nm10177869,actress,[Padmaja]
tt13097434,nm2217380,actor,[Chandu]
tt13097434,nm7488700,actor,[Principal]
tt13097434,nm13434452,actress,[Rajo Krishna]
tt13097434,nm13433485,actress,[Jyothi]
tt13097434,nm9783252,actress,\N
tt13097434,nm9159094,director,\N
tt13097932,nm0000164,actor,[Nicky Winton]
tt13097932,nm0000565,actress,[Grete Winton]
tt13097932,nm1926865,actor,[Young Nicky Winton]
tt13097932,nm0000307,actress,[Babi Winton]
tt13097932,nm0824356,actor,[Bernard]
tt13097932,nm0861693,actress,[Nina]
tt13097932,nm3993190,actor,[Frank]
tt13097932,nm5189784,actor,[Trevor Chadwick]
tt13097932,nm2555379,actor,[Rudi]
tt13097932,nm0304801,actress,[Doreen Warriner]
tt13097932,nm0369949,director,\N
tt13101714,nm6186408,actor,[Allen]
tt13101714,nm2026324,actor,[Don]
tt13101714,nm3172728,actress,[Kim]
tt13101714,nm2633394,actor,[Mark]
tt13101714,nm3794219,actress,[Jean]
tt13101714,nm8257303,actor,[Man on Walkie]
tt13101714,nm6984692,actress,[Woman on Walkie]
tt13101714,nm9531270,actor,[Berret]
tt13101714,nm3753544,actor,[Officer Morton]
